published_at,company,amount_usd,amount_raw,stage,location,description,investors,source,url,priority,score
2026-08-31,De¹,,undisclosed,Undisclosed,"New York, NY",Intelligent infrastructure platform for DeFi and AI,YZi Labs,finsmes,https://www.finsmes.com/2026/08/de1-receives-investment-from-yzi-labs.html,0,6
2026-08-27,RQD*Clearing,74000000.0,$74M,Undisclosed,"New York, NY","provider of proprietary clearing and custody platform for broker-dealers, RIAs, and foreign financial institutions.","Bain Capital Tech Opportunities, ABN AMRO Clearing Bank, Nyca Partners",finsmes,https://www.finsmes.com/2026/08/rqdclearing-raises-74m-in-funding.html,1,12
2026-08-27,Socure,156000000.0,$156M,Undisclosed,"Incline Village, NV",provider of trust infrastructure for global identity and risk intelligence.,Summit Partners,finsmes,https://www.finsmes.com/2026/08/socure-raises-156m-acquires-fravity.html,0,2
2026-08-27,HBK,,undisclosed,Undisclosed,"Canfield, OH","Integrated accounting, tax, audit, consulting, technology, and wealth management services provider",H.I.G. Capital,finsmes,https://www.finsmes.com/2026/08/hbk-receives-investment-from-h-i-g-capital.html,0,2
2026-08-26,Imprint,2000000000.0,$2B,Debt,NYC,provider of a co-brand financial and loyalty platform,,finsmes,https://www.finsmes.com/2026/08/imprint-raises-2-billion-in-debt-funding.html,1,5
2026-08-25,Hivemind Digital Group,17000000.0,$17M,Strategic,NYC,provider of a technology-focused global asset management platform,M&G Investments,finsmes,https://www.finsmes.com/2026/08/hivemind-digital-group-raises-17m-in-funding.html,1,5
2026-08-25,Liner,36100000.0,$36.1m,Series C,"San Francisco, Calif.",AI agent research startup,LB Investment,finsmes,https://www.finsmes.com/2026/08/liner-raises-36-1m-in-series-c-funding.html,0,0
2026-08-25,Standard Metrics,20000000.0,$20M,Series B,"San Francisco, CA",provider of an AI-driven portfolio management platform for venture capital and private equity firms,8VC,finsmes,https://www.finsmes.com/2026/08/standard-metrics-raises-20m-in-series-b-funding.html,0,0
2026-08-24,PayQuicker,,undisclosed,Undisclosed,NYC,"cloud-based platform that enables enterprises to send secure, compliant, and real-time payouts to individuals and businesses across more than 210 countries and territories",Clearhaven Partners,finsmes,https://www.finsmes.com/2026/08/payquicker-receives-investment-from-clearhaven-partners.html,0,3
2026-08-24,PayRewards,28000000.0,$28M,Series E,"Dallas, TX",provider of a rewards-first platform for small business payments,,finsmes,https://www.finsmes.com/2026/08/payrewards-raises-28m-in-series-e-funding.html,0,2
2026-08-21,Multiplier,,USD6m,Seed,NYC,developer of an AI-powered data platform and coding agent infrastructure for the asset management industry,Lux Capital,finsmes,https://www.finsmes.com/2026/08/multiplier-raises-usd6m-in-seed-funding.html,1,5
2026-08-21,TravelX,,undisclosed,Series A,"New York, NY",AI-native post-booking revenue management platform for global aviation,Kaszek,finsmes,https://www.finsmes.com/2026/08/travelx-closes-series-a-funding.html,0,6
2026-08-20,Blueprint Finance,,an undisclosed amount,Strategic,NYC,provider of a full-stack vault infrastructure platform designed for institutional on-chain asset management,Polychain Capital,finsmes,https://www.finsmes.com/2026/08/blueprint-finance-closes-funding.html,1,7
2026-08-20,HeyBreez,2500000.0,$2.5m,Seed,"Wilmington, Delaware",enterprise voice AI infrastructure platform provider,,finsmes,https://www.finsmes.com/2026/08/heybreez-raises-2-5m-in-seed-funding.html,0,0
2026-08-19,RockRose Risk,12500000.0,$12.5M,Series A,"Napa, CA",insurance brokerage giving property owners discounts for wildfire mitigation,Crosslink Capital and Congruent Ventures,finsmes,https://www.finsmes.com/2026/08/rockrose-risk-raises-12-5m-in-series-a-funding.html,0,6
2026-08-19,Rillet,100000000.0,$100M,Series C,"San Francisco, CA",provider of an AI-native ERP platform for finance teams,ICONIQ,finsmes,https://www.finsmes.com/2026/08/rillet-raises-100m-in-series-c-funding.html,0,2
2026-08-19,Hypercubic,5300000.0,$5.3m,Seed,"San Francisco, CA",AI infrastructure startup developing a software-driven mainframe modernization platform,CIV,finsmes,https://www.finsmes.com/2026/08/hypercubic-raises-5-3m-in-seed-funding.html,0,0
2026-08-19,Ascensus,,undisclosed,Undisclosed,"Dresher, PA",Provider of tax-advantaged savings solutions and technology,,finsmes,https://www.finsmes.com/2026/08/ascensus-receives-investment.html,0,0
2026-08-19,Boom,15000000.0,$15m,Series A,"Austin, Texas",provider of an AI-native leasing operating system and fintech platform for real estate,S3 Ventures,finsmes,https://www.finsmes.com/2026/08/boom-raises-15m-in-series-a-funding.html,0,-4
